url,job_title,company,salary_min,salary_max,remote,workplace_type,location,seniority_level,commitment,apply_source
https://jobs.smartrecruiters.com/NBCUniversal3/744000081385628-senior-director-partner-growth,"Senior Director, Partner Growth",NBCUniversal,150000.0,210000.0,no,Hybrid,"New York, New York, United States",Senior Level,Full Time,smartrecruiters
https://jobs.smartrecruiters.com/AccorHotel/744000081358982-director-of-sales-marketing,Director of Sales & Marketing,AccorHotel,180000.0,195000.0,no,Onsite,"New York, New York, United States",Mid Level,Full Time,smartrecruiters
https://regeneron.wd1.myworkdayjobs.com/careers/job/SLEEPY-HOLLOW/Senior-Director--Oncology-Marketing---US-Skin-Lead_R41643,"Senior Director, Oncology Marketing - US Skin Lead",Regeneron,212900.0,354800.0,no,Onsite,"Sleepy Hollow, New York, United States",Senior Level,Full Time,workday
https://regeneron.wd1.myworkdayjobs.com/careers/job/SLEEPY-HOLLOW/Senior-Director--Oncology-Marketing---US-Lung-Lead_R41644,"Senior Director, Oncology Marketing - US Lung Lead",Regeneron Pharmaceuticals,212900.0,354800.0,no,Onsite,"Sleepy Hollow, New York, United States",Senior Level,Full Time,workday
https://regeneron.wd1.myworkdayjobs.com/careers/job/SLEEPY-HOLLOW/Sr-Director--International-Marketing--Oncology-Global_R41963,"Sr Director, International Marketing, Oncology Global",Regeneron,212900.0,354800.0,no,Onsite,"Sleepy Hollow, New York, United States",Senior Level,Full Time,workday
https://regeneron.wd1.myworkdayjobs.com/careers/job/SLEEPY-HOLLOW/Associate-Director--US-Immunology-Market-Access-Strategy_R41642,"Associate Director, US Immunology Market Access Strategy",Regeneron,154800.0,252800.0,no,Onsite,"Sleepy Hollow, New York, United States",Senior Level,Full Time,workday
https://sumitomopharma.wd5.myworkdayjobs.com/smpa/job/US-Remote/Associate-Director--Consumer-Marketing_R00953-1,"Associate Director, Consumer Marketing",Sumitomopharma,159200.0,199000.0,yes,Remote,Marlborough or United States,Mid Level,Full Time,workday
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=8c6702bc-5a45-465e-ae8f-8859cd7ae6de&jobId=508627,"Director, League & Field Marketing",undefined,126000.0,136000.0,yes,Remote,United States,Senior Level,Full Time,adp
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=8c6702bc-5a45-465e-ae8f-8859cd7ae6de&jobId=508623," Director, Digital Marketing & Media",United Football League,120000.0,130000.0,yes,Remote,United States,Senior Level,Full Time,adp
https://jobs.smartrecruiters.com/LinkedIn3/744000080872793-director-gcp-field-marketing,"Director, GCP Field Marketing",LinkedIn,179000.0,280000.0,no,Hybrid,"New York, New York, United States",No Prior Experience Required,Full Time,smartrecruiters
https://jobs.smartrecruiters.com/LinkedIn3/744000081087375-mid-market-account-director-sales-solutions,"Mid-Market Account Director, Sales Solutions",LinkedIn,131000.0,188000.0,no,Hybrid,"New York, New York, United States",Entry Level,Full Time,smartrecruiters
https://careers.avalara.com/jobs/15916/job?utm_source=hiringcafe_integration&iis=Job%20Board&iisn=HiringCafe,"Director, Growth Marketing",Avalara,,,yes,Remote,United States,Senior Level,Full Time,icims
https://apply.workable.com/j/34D4744E5B,"Director, Field Marketing",Mast Jägermeister US,150000.0,175000.0,yes,Remote,United States,Senior Level,Full Time,workable
